 1001   70.56   -8.40     9   Jan_Mayen(Nor-Navy)
 1002   77.10   16.30     8   Grimfjellet
 1003   77.00   15.30    12   Hornsund_River
 1004   78.55   11.56     8   Ny-Alesund_Ii
 1005   78.04   13.38     5   Isfjord_Radio
 1007   78.55   11.56    18   Ny_Alesund
 1008   78.15   15.28    29   Svalbard_Longyear
 1009   80.41   20.52     4   Phippsoya
 1010   69.18   16.09    14   Andoya_Andenes(Afb)
 1011   80.06   31.24    16   Kvitoya_Island
 1014   69.14   17.54     9   Senja_Laukhella
 1015   69.36   17.50    14   Hekkingen_(Lgt-H)
 1016   69.17   17.46    50   Senja_Grasmyrskogen
 1017   69.21   18.05    12   Gibostad
 1023   69.03   18.33    79   Bardufoss_(Civ_Mil)
 1025   69.41   18.55    10   Tromso_Langnes
 1026   69.39   18.56   115   Tromso 
 1028   74.31   19.01    16   Bjornoya_Island
 1032   69.01   19.17    78   Overbygd
 1033   70.15   19.30    24   Torsvag_(Lgt-H)
 1034   70.19   20.09    38   Fugloykalven_(Lh)
 1035   69.15   19.59    37   Kvesmenes-Ryeng
 1037   69.23   20.16     6   Skibotn_2
 1041   69.45   21.02     4   Nordreisa
 1043   70.20   21.28    10   Loppa
 1045   69.50   21.53     6   Nordstraum_I_Kvaena
 1046   69.47   20.58     6   Sorkjosen
 1047   69.01   23.04   307   Kautokeino_Ii
 1049   69.59   23.22     3   Alta_Airport
 1051   69.35   23.32   374   Solovomi
 1052   70.40   23.40    81   Hammerfest
 1053   70.41   23.40    72   Hammerfest_Radio
 1055   71.06   24.00    14   Fruholmen_(Lgt-H)
 1057   69.22   24.26   286   Cuovdatmakki
 1058   69.34   23.32   381   Suolovuopmi_Lulit
 1059   70.04   24.59     8   Banak_Lakselv_(Afb)
 1062   76.30   25.04    10   Hopen_Island
 1063   70.26   25.11 -9999   Kistrand_Iii
 1065   69.28   25.30   133   Karasjok
 1066   71.04   26.14    33   Helnes_(Lgt-H)
 1068   71.01   25.59    14   Honningsvag_Valan
 1074   71.02   27.50    13   Mehamn
 1075   70.24   28.12    11   Rustefjelbma
 1078   71.05   28.14    10   Sletnes_(Lgt-H)
 1083   70.52   29.02    13   Berlevag
 1084   69.10   29.15    54   Pasvik
 1088   70.04   29.51    39   Vadso
 1089   69.44   29.54    91   Kirkenes_(Civ_Mil)
 1092   70.42   30.05     9   Makkaur_(Lgt-H)
 1097   70.21   31.03    12   Svartnes
 1098   70.22   31.06    15   Vardo
 1102   65.12   11.00    16   Sklinna_(Lgt-H)
 1103   65.06   11.42    47   Leka_Island
 1106   67.30   12.05    11   Rost_Ii_Island
 1107   67.31   12.06     4   Rost_(Nor-Afb)
 1108   65.42   11.51     9   Vega-Vallsjo
 1112   65.28   12.13     9   Bronnoysund_Bronnoy
 1114   66.54   13.38     8   Reipa
 1115   66.46   12.29    13   Myken_Island
 1116   65.58   12.28    17   Sandnessjoen_Stokka
 1121   66.24   12.37 -9999   Nord-Solvaer
 1122   65.48   13.08    73   Mosjoen_Kjaerstad
 1132   65.10   13.22   319   Majavatn_V
 1134   65.11   13.25   339   Majavatn_Iii
 1137   66.56   13.27    12   Stott
 1138   67.18   13.30    14   Tennholmen_(Lgt-H)
 1139   67.41   12.41    11   Vaeroy_(Nor-Afb)
 1141   68.09   13.37    26   Leknes
 1143   68.03   16.05 -9999   Drag-Ajluokta
 1144   67.40   13.54 -9999   Helligvaer_Ii
 1147   65.31   14.01   265   Susendal-Bjormo
 1149   66.16   13.59    42   Nerdal_I_Rana
 1150   66.30   14.57 -9999   Hjartasen
 1151   66.22   14.18    70   Mo_I_Rana_Rossvoll
 1152   67.16   14.22    13   Bodo_Vi_(Civ_Mil)
 1155   68.38   14.28    13   Bo_I_Vesteralen_Ii
 1156   68.36   14.26     8   Bo_I_Vesteralen_New
 1160   68.09   14.39    11   Skrova_(Lgt-H)
 1161   68.15   14.40     9   Svolvaer_Helle
 1162   68.35   15.01     3   Storkmarknes_Skagen
